"CertificateOfOrigin","EUCitizen","Perishable","Fragile","Volume","PreDeclared","MultiplePackage","Category","OnlineDeclaration","ExporterValidation","SecuredDelivery","LithiumBatteries","ExpressDelivery","EntryPoint","Origin","PaperlessBilling","PaymentMethod","Weight","Price","Inspection","packageID"
"Yes",0,"No","Yes",72,"Yes","Yes","Electronics","Yes","No","Yes","No","Yes","Brussels","Africa","No","Bank transfer (automatic)",106.7,7382.25,"No","9959-WOFKT"
"No",0,"Yes","Yes",11,"Yes","No","Clothing","No","No","Yes","Yes","No","Antwerp","China","No","Credit card (automatic)",55.2,528.35,"Yes","4190-MFLUW"
"No",0,"No","No",22,"Yes","No","Electronics","No","Yes","Yes","No","No","Brussels","China","Yes","Electronic check",90.05,1862.9,"No","4183-MYFRB"
"Yes",1,"No","No",2,"No",NA,"Clothing","No","No","Yes","No","No","Brussels","China","Yes","Electronic check",39.65,39.65,"Yes","8779-QRDMV"
"Yes",0,"Yes","No",13,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Bank transfer (automatic)",19.8,202.25,"No","1680-VDCWW"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.15,20.15,"Yes","1066-JKSGK"
"No",0,"Yes","No",59,"Yes","Yes","Clothing","No","Yes","No","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",59.9,3505.1,"No","3638-WEABW"
"Yes",0,"Yes","Yes",50,"Yes","No","Clothing","Yes","Yes","No","Yes","No","Antwerp","China","No","Credit card (automatic)",59.6,2970.3,"No","6322-HRPFA"
"No",0,"No","No",31,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",55.3,1530.6,"No","6865-JZNKO"
"Yes",0,"Yes","Yes",48,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",99.35,4749.15,"Yes","6467-CHFZW"
"Yes",0,"Yes","Yes",2,"No",NA,"Clothing","No","Yes","No","No","No","Antwerp","China","No","Electronic check",30.2,30.2,"Yes","8665-UTDHZ"
"Yes",0,"Yes","No",73,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",90.25,6369.45,"No","5248-YGIJN"
"No",0,"No","Yes",18,"Yes","No","Clothing","No","No","No","No","Yes","Brussels","China","Yes","Mailed check",64.7,1093.1,"Yes","8773-HHUOZ"
"No",1,"Yes","No",72,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",96.35,6766.95,"No","3841-NFECX"
"Yes",1,"Yes","No",3,"Yes","No","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",95.5,181.65,"No","4929-XIHVW"
"No",0,"Yes","Yes",28,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","US","No","Mailed check",66.15,1874.45,"No","6827-IEAUQ"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Bank transfer (automatic)",20.2,20.2,"No","7310-EGVHZ"
"Yes",1,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Bank transfer (automatic)",45.25,45.25,"No","3413-BMNZE"
"No",0,"Yes","Yes",73,"Yes","Yes","Electronics","Yes","Yes","No","Yes","Yes","Antwerp","Africa","No","Bank transfer (automatic)",99.9,7251.7,"No","6234-RAAPL"
"Yes",0,"No","No",6,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69.7,316.9,"Yes","6047-YHPVI"
"No",0,"No","No",47,"Yes","No","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Credit card (automatic)",74.8,3548.3,"No","6572-ADKRS"
"Yes",0,"No","No",35,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",106.35,3549.25,"Yes","5380-WJKOV"
"No",0,"No","No",12,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","8168-UQWWF"
"Yes",0,"Yes","Yes",11,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","US","No","Mailed check",49.55,475.7,"No","8865-TNMNX"
"No",0,"Yes","Yes",71,"Yes","Yes","Clothing","Yes","Yes","No","No","Yes","Antwerp","Africa","Yes","Credit card (automatic)",69.2,4872.35,"No","9489-DEDVP"
"No",0,"Yes","Yes",18,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.75,418.25,"No","9867-JCZSP"
"No",0,"No","No",64,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Antwerp","Africa","Yes","Credit card (automatic)",79.85,4861.45,"No","4671-VJLCL"
"No",0,"Yes","No",14,"Yes","Yes","Clothing","Yes","Yes","No","Yes","Yes","Antwerp","China","Yes","Electronic check",76.2,981.45,"No","4080-IIARD"
"No",0,"No","No",50,"Yes","Yes","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",84.5,3906.7,"No","3714-NTNFO"
"Yes",0,"No","No",3,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","No","Mailed check",49.25,97,"No","5948-UJZLF"
"No",0,"No","No",3,"Yes","No","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",80.65,144.15,"Yes","7760-OYPDY"
"Yes",0,"No","No",53,"Yes","Yes","Clothing","Yes","No","No","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",79.75,4217.8,"No","7639-LIAYI"
"No",0,"Yes","Yes",70,"Yes","Yes","Clothing","Yes","No","Yes","Yes","No","Antwerp","Africa","Yes","Credit card (automatic)",64.15,4254.1,"No","2954-PIBKO"
"No",1,"No","No",44,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Antwerp","China","Yes","Electronic check",90.25,3838.75,"No","8012-SOUDQ"
"No",0,"No","No",16,"Yes","No","Electronics","Yes","Yes","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",99.1,1426.4,"Yes","9420-LOJKX"
"No",1,"Yes","No",26,"Yes","Yes","Clothing","Yes","No","No","Yes","Yes","Antwerp","China","Yes","Credit card (automatic)",69.5,1752.65,"No","6575-SUVOI"
"No",1,"Yes","No",9,"Yes","Yes","Electronics","No","Yes","No","No","No","Antwerp","China","Yes","Credit card (automatic)",80.65,633.3,"Yes","7495-OOKFY"
"No",1,"Yes","Yes",61,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Brussels","US","Yes","Credit card (automatic)",74.85,4456.35,"No","4667-QONEA"
"Yes",1,"No","No",19,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Electronic check",95.45,1752.55,"Yes","1658-BYGOY"
"No",0,"Yes","Yes",64,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Brussels","US","Yes","Credit card (automatic)",99.65,6311.2,"No","8769-KKTPH"
"Yes",1,"Yes","Yes",67,"Yes","Yes","Electronics","No","Yes","Yes","Yes","Yes","Brussels","US","Yes","Electronic check",108.45,7076.35,"No","5067-XJQFU"
"No",0,"Yes","Yes",35,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",24.95,894.3,"No","3957-SQXML"
"No",0,"No","No",73,"Yes","Yes","Electronics","No","No","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",107.5,7853.7,"No","5954-BDFSG"
"No",0,"Yes","No",48,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",100.5,4707.1,"No","0434-CSFON"
"Yes",0,"No","No",61,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",89.9,5450.7,"No","1215-FIGMP"
"Yes",0,"Yes","No",73,"No",NA,"Clothing","Yes","Yes","Yes","No","No","Antwerp","Africa","No","Bank transfer (automatic)",42.1,2962,"No","0526-SXDJP"
"No",0,"Yes","Yes",19,"Yes","No","Clothing","No","No","Yes","Yes","No","Antwerp","US","Yes","Credit card (automatic)",54.4,957.1,"No","0557-ASKVU"
"No",0,"No","No",10,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","No","Electronic check",94.4,857.25,"Yes","5698-BQJOH"
"No",0,"No","No",4,"Yes","No","Clothing","No","Yes","No","Yes","Yes","Brussels","China","Yes","Electronic check",75.3,244.1,"No","5122-CYFXA"
"Yes",0,"Yes","No",48,"Yes","Yes","Electronics","No","Yes","No","No","No","Antwerp","US","Yes","Electronic check",78.9,3650.35,"No","8627-ZYGSZ"
"No",0,"No","No",32,"Yes","No","Clothing","No","Yes","Yes","Yes","Yes","Brussels","Africa","No","Mailed check",79.2,2497.2,"No","3410-YOQBQ"
"No",0,"Yes","Yes",51,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",20.15,930.9,"No","3170-NMYVV"
"Yes",0,"No","No",11,"Yes","No","Electronics","Yes","No","Yes","No","No","Antwerp","China","Yes","Mailed check",79.85,887.35,"No","7410-OIEDU"
"Yes",0,"No","No",2,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","No","Mailed check",49.05,49.05,"No","2273-QCKXA"
"No",0,"Yes","Yes",53,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Electronic check",20.4,1090.65,"No","0731-EBJQB"
"Yes",1,"Yes","Yes",65,"Yes","Yes","Electronics","Yes","No","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",111.6,7099,"No","1891-QRQSA"
"Yes",0,"Yes","Yes",63,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",24.25,1424.6,"No","8028-PNXHQ"
"No",0,"No","Yes",4,"Yes","No","Clothing","Yes","No","No","Yes","No","Brussels","China","Yes","Bank transfer (automatic)",64.5,177.4,"No","5630-AHZIL"
"No",1,"No","No",57,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","US","No","Electronic check",110.5,6139.5,"No","2673-CXQEU"
"No",0,"No","No",47,"Yes","No","Clothing","No","No","No","No","No","Brussels","US","No","Credit card (automatic)",55.65,2688.85,"No","6416-JNVRK"
"No",0,"Yes","Yes",9,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","China","No","Mailed check",54.65,482.25,"No","5590-ZSKRV"
"Yes",1,"No","No",31,"Yes","No","Clothing","Yes","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",74.75,2111.3,"No","0191-ZHSKZ"
"No",0,"Yes","Yes",46,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Credit card (automatic)",25.9,1216.6,"No","3887-PBQAO"
"No",0,"No","Yes",2,"Yes","No","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",79.35,79.35,"Yes","5919-TMRGD"
"No",0,"Yes","Yes",12,"No",NA,"Clothing","Yes","No","No","No","Yes","Brussels","China","No","Electronic check",50.55,565.35,"No","8108-UXRQN"
"No",0,"Yes","No",8,"Yes","No","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","9191-MYQKX"
"No",0,"No","No",43,"Yes","No","Electronics","No","Yes","Yes","Yes","Yes","Brussels","China","Yes","Bank transfer (automatic)",103.8,4327.5,"No","9919-YLNNG"
"No",0,"Yes","No",50,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",20.15,973.35,"No","0318-ZOPWS"
"Yes",0,"No","No",10,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",99.3,918.75,"No","4445-ZJNMU"
"No",0,"Yes","No",36,"Yes","No","Clothing","Yes","No","No","No","Yes","Antwerp","US","Yes","Bank transfer (automatic)",62.15,2215.45,"No","4808-YNLEU"
"No",0,"Yes","Yes",49,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",20.65,1057,"No","1862-QRWPE"
"No",0,"Yes","Yes",47,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Mailed check",19.95,927.1,"No","2796-NNUFI"
"Yes",0,"Yes","No",30,"No",NA,"Clothing","No","No","No","No","Yes","Antwerp","China","No","Mailed check",33.75,1009.25,"No","3016-KSVCP"
"Yes",0,"Yes","Yes",31,"Yes","No","Electronics","No","Yes","Yes","No","No","Antwerp","China","No","Bank transfer (automatic)",82.05,2570.2,"No","4767-HZZHQ"
"Yes",1,"No","No",2,"Yes","No","Electronics","No","No","No","Yes","No","Antwerp","China","No","Electronic check",74.7,74.7,"No","2424-WVHPL"
"Yes",0,"Yes","Yes",67,"Yes","Yes","Clothing","Yes","No","Yes","Yes","Yes","Brussels","Africa","Yes","Mailed check",84,5714.25,"No","7233-PAHHL"
"No",0,"No","No",66,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",111.05,7107,"No","6067-NGCEU"
"Yes",0,"No","No",73,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",100.9,7459.05,"No","9848-JQJTX"
"No",0,"No","No",13,"Yes","Yes","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Electronic check",78.95,927.35,"Yes","8637-XJIVR"
"Yes",0,"Yes","Yes",72,"Yes","Yes","Clothing","Yes","Yes","No","Yes","No","Antwerp","US","Yes","Credit card (automatic)",66.85,4748.7,"No","9803-FTJCG"
"Yes",0,"No","No",6,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",21.05,113.85,"Yes","0278-YXOOG"
"Yes",0,"No","No",53,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",21,1107.2,"No","3212-KXOCR"
"No",1,"Yes","No",26,"Yes","No","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",98.5,2514.5,"Yes","4598-XLKNJ"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.2,20.2,"No","6380-ARCEH"
"No",0,"Yes","Yes",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Electronic check",19.45,19.45,"No","3679-XASPY"
"Yes",0,"No","No",39,"Yes","Yes","Electronics","No","No","Yes","Yes","Yes","Antwerp","US","No","Bank transfer (automatic)",95,3605.6,"No","7123-WQUHX"
"No",1,"Yes","No",67,"No",NA,"Clothing","No","Yes","Yes","No","Yes","Antwerp","US","No","Bank transfer (automatic)",45.55,3027.25,"No","5386-THSLQ"
"Yes",0,"Yes","No",69,"Yes","Yes","Electronics","No","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",110,7611.85,"Yes","3192-NQECA"
"Yes",0,"No","No",6,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","No","Mailed check",24.3,100.2,"No","6180-YBIQI"
"No",0,"Yes","Yes",73,"Yes","Yes","Electronics","Yes","Yes","No","No","Yes","Brussels","US","Yes","Electronic check",104.15,7303.05,"No","6728-DKUCO"
"No",0,"No","No",33,"No",NA,"Clothing","Yes","No","No","No","No","Antwerp","US","No","Mailed check",30.15,927.65,"No","9750-BOOHV"
"Yes",0,"No","No",44,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","US","No","Mailed check",94.35,3921.3,"No","8597-CWYHH"
"Yes",0,"Yes","Yes",73,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",19.4,1363.25,"No","2848-YXSMW"
"Yes",0,"Yes","No",56,"Yes","Yes","Electronics","Yes","Yes","No","No","Yes","Antwerp","China","Yes","Electronic check",96.75,5238.9,"Yes","0486-HECZI"
"No",0,"No","No",53,"Yes","No","Clothing","Yes","No","Yes","Yes","No","Antwerp","US","No","Credit card (automatic)",57.95,3042.25,"No","4549-ZDQYY"
"No",0,"No","No",44,"Yes","No","Electronics","No","Yes","Yes","No","Yes","Antwerp","China","Yes","Electronic check",91.65,3954.1,"No","5712-AHQNN"
"No",1,"Yes","No",38,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",76.5,2868.15,"Yes","4846-WHAFZ"
"No",0,"Yes","Yes",65,"No",NA,"Clothing","No","Yes","No","Yes","Yes","Brussels","Africa","Yes","Electronic check",54.6,3423.5,"No","5256-SKJGO"
"Yes",0,"Yes","Yes",4,"Yes","No","Electronics","Yes","Yes","No","No","Yes","Antwerp","China","No","Electronic check",89.85,248.4,"No","3071-VBYPO"
"No",0,"No","No",37,"No",NA,"Clothing","Yes","No","No","No","No","Antwerp","Africa","No","Bank transfer (automatic)",31.05,1126.35,"No","9560-BBZXK"
"No",0,"Yes","Yes",11,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Brussels","China","Yes","Electronic check",100.25,1064.65,"Yes","5299-RULOA"
"No",0,"No","No",42,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.65,835.15,"No","8402-OOOHJ"
"Yes",0,"Yes","Yes",28,"Yes","Yes","Electronics","No","Yes","No","Yes","No","Antwerp","China","Yes","Credit card (automatic)",85.2,2151.6,"No","9445-ZUEQE"
"No",0,"Yes","Yes",57,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","US","Yes","Credit card (automatic)",99.8,5515.45,"No","1091-SOZGA"
"No",0,"No","No",7,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.7,112.75,"No","2928-HLDBA"
"Yes",0,"No","No",4,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",74.4,229.55,"Yes","0404-SWRVG"
"No",0,"Yes","Yes",8,"Yes","No","Clothing","Yes","No","No","No","No","Antwerp","China","No","Mailed check",50.7,350.35,"No","6497-TILVL"
"No",0,"Yes","Yes",5,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.85,62.9,"No","7219-TLZHO"
"Yes",0,"No","No",34,"Yes","No","Electronics","Yes","No","No","Yes","Yes","Antwerp","Africa","Yes","Electronic check",88.95,3027.65,"No","4622-YNKIJ"
"No",1,"No","No",28,"Yes","Yes","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Electronic check",78.05,2135.5,"Yes","4412-YLTKF"
"Yes",0,"Yes","No",73,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",23.55,1723.95,"No","6734-PSBAW"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.75,19.75,"No","3930-ZGWVE"
"Yes",1,"No","No",72,"No",NA,"Clothing","Yes","Yes","No","No","Yes","Brussels","US","Yes","Electronic check",56.45,3985.35,"No","2639-UGMAZ"
"No",0,"No","No",14,"Yes","Yes","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",85.95,1215.65,"No","2876-GZYZC"
"No",0,"Yes","Yes",26,"No",NA,"Clothing","Yes","Yes","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",58.6,1502.65,"Yes","6207-WIOLX"
"Yes",0,"No","No",68,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","Africa","No","Bank transfer (automatic)",50.55,3260.1,"No","8587-XYZSF"
"Yes",0,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Brussels","China","Yes","Electronic check",35.45,35.45,"Yes","3091-FYHKI"
"Yes",0,"No","No",3,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Electronic check",44.35,81.25,"Yes","2372-HWUHI"
"No",0,"No","No",44,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Credit card (automatic)",25.7,1188.2,"No","7799-LGRDP"
"No",0,"No","No",24,"Yes","No","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",75,1778.5,"No","7850-VWJUU"
"No",0,"Yes","Yes",65,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.2,1277.75,"No","3774-VBNXY"
"Yes",0,"No","Yes",58,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Mailed check",19.6,1170.55,"No","6217-KDYWC"
"No",1,"Yes","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Mailed check",70.45,70.45,"Yes","0390-DCFDQ"
"No",1,"Yes","Yes",73,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",88.05,6425.65,"No","3146-MSEGF"
"No",0,"No","No",9,"Yes","Yes","Clothing","Yes","No","No","Yes","No","Brussels","China","No","Electronic check",71.15,563.65,"Yes","4080-OGPJL"
"No",0,"Yes","No",62,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",101.05,5971.25,"No","1095-WGNGG"
"Yes",0,"No","No",65,"Yes","Yes","Electronics","Yes","Yes","No","No","No","Antwerp","US","Yes","Credit card (automatic)",84.3,5289.05,"No","2636-SJDOU"
"Yes",1,"Yes","No",72,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",23.95,1756.2,"No","1131-QQZEB"
"No",0,"Yes","Yes",66,"Yes","Yes","Electronics","Yes","Yes","No","Yes","Yes","Antwerp","Africa","Yes","Credit card (automatic)",99.05,6416.7,"No","5716-EZXZN"
"Yes",0,"No","No",4,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.6,61.35,"No","6837-BJYDQ"
"Yes",0,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","Yes","Electronic check",45.65,45.65,"Yes","2135-RXIHG"
"Yes",0,"No","Yes",31,"Yes","No","Clothing","No","Yes","Yes","No","Yes","Antwerp","US","No","Credit card (automatic)",64.5,1929.95,"No","6440-DKQGE"
"Yes",0,"Yes","Yes",16,"Yes","No","Clothing","No","Yes","Yes","Yes","No","Brussels","China","Yes","Mailed check",69.5,1071.4,"No","3466-BYAVD"
"No",0,"Yes","Yes",9,"Yes","No","Clothing","No","No","No","Yes","Yes","Brussels","China","Yes","Electronic check",68.55,564.35,"No","3780-YVMFA"
"Yes",0,"No","No",8,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","No","Mailed check",95,655.5,"Yes","3874-EQOEP"
"No",0,"Yes","Yes",71,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","US","Yes","Credit card (automatic)",108.15,7930.55,"No","1679-JRFBR"
"Yes",0,"Yes","Yes",63,"Yes","No","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Electronic check",86.1,5215.25,"No","9073-ZZIAY"
"No",0,"Yes","Yes",7,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.7,113.5,"No","3077-RSNTJ"
"No",0,"Yes","Yes",15,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Bank transfer (automatic)",80.9,1152.8,"No","6551-GNYDG"
"No",0,"No","No",23,"Yes","Yes","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",84.15,1821.95,"No","9167-APMXZ"
"Yes",0,"Yes","Yes",23,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.15,419.9,"No","2749-CTKAJ"
"Yes",0,"Yes","Yes",17,"Yes","No","Clothing","Yes","No","Yes","No","Yes","Antwerp","Africa","No","Mailed check",64.25,1024,"No","6371-NZYEG"
"Yes",0,"No","No",11,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",25.7,251.6,"No","7554-NEWDD"
"No",0,"No","Yes",14,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","China","Yes","Electronic check",56,764.55,"No","8992-VONJD"
"No",0,"Yes","No",21,"Yes","Yes","Electronics","Yes","No","No","No","No","Antwerp","China","No","Electronic check",82.4,1592.35,"Yes","0867-MKZVY"
"No",0,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69.7,135.2,"No","4482-EWFMI"
"Yes",0,"No","No",54,"Yes","Yes","Clothing","No","Yes","Yes","Yes","No","Brussels","Africa","Yes","Bank transfer (automatic)",73.9,3958.25,"No","4648-YPBTM"
"No",0,"Yes","Yes",12,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.6,233.9,"No","2907-ILJBN"
